time,tpt
1.682621,17600071.041953
1.685406,17653422.290032
1.688188,17666302.692142
1.690980,17604641.275706
1.693762,17668855.622386
1.696516,17847118.688132
1.699272,17831805.931093
1.702035,17793455.171006
1.705873,12806046.187953
1.710187,11393227.204853
1.712940,17853555.945828
1.715694,17849873.240189
1.718452,17820815.097804
1.721210,17821525.859378
1.723961,17865074.201556
1.726712,17865665.115464
1.729472,17808127.856793
1.732224,17862957.621994
1.735071,17262015.137978
1.740247,9495873.665005
1.742997,17876340.761927
1.745754,17829399.719602
1.748510,17831437.195264
1.751258,17888539.462914
1.754022,17779867.786831
1.756778,17837617.150997
1.759530,17860108.173710
1.762283,17852868.565011
1.765030,17893566.914667
1.770250,9417095.000923
1.773004,17841819.377714
1.775761,17833378.081257
1.778510,17878167.880623
1.781266,17833811.603516
1.784020,17845038.754652
1.786775,17842570.677663
1.789528,17855300.574398
1.792283,17839339.241792
1.795039,17835086.410471
1.800095,9720734.560977
1.802851,17835720.646284
1.805606,17844280.768605
1.808362,17836458.487559
1.811113,17866022.280186
1.813860,17890102.098644
1.816611,17866886.028446
1.819367,17837643.044637
1.822122,17840135.659365
1.824878,17830816.200968
1.830200,9235676.030553
1.832951,17865814.473520
1.835711,17814608.036580
1.838458,17889307.724700
1.841215,17831508.353622
1.843967,17859167.211685
1.846727,17809547.413137
1.849475,17886488.917742
1.852230,17839786.003869
1.854980,17875333.080458
1.857734,17843412.726936
1.860483,17882584.417645
1.864985,10917620.299950
1.868478,14069545.668059
1.871237,17819807.205870
1.873990,17854412.003489
1.876745,17838406.940836
1.879494,17877680.178951
1.882250,17833643.368495
1.885006,17834898.737094
1.887760,17849263.924855
1.890516,17836879.213859
1.893265,17878655.608904
1.897412,11852980.788824
1.901344,12500540.438811
1.904096,17856597.917021
1.906846,17873259.564441
1.909596,17875989.685810
1.912352,17836102.503884
1.915107,17841573.275972
1.917860,17850670.598618
1.920610,17876997.441311
1.923365,17841974.813892
1.926110,17899633.573175
1.930712,10681105.165816
1.934043,14755277.986832
1.936795,17861847.592128
1.939552,17830441.037874
1.942308,17834892.265668
1.945058,17872271.726017
1.947812,17848648.169707
1.950561,17875495.602043
1.953316,17844999.882006
1.956066,17874267.012137
1.958823,17829289.773840
1.963231,11150625.090177
1.966754,13951892.199833
1.969502,17886300.161025
1.972249,17893000.208227
1.975000,17864392.426387
1.977749,17882363.213674
1.980496,17888930.096254
1.983248,17864080.775070
1.986003,17837753.093445
1.988754,17865236.536648
1.991503,17881660.602065
1.994255,17858239.325549
1.997868,13607713.473912
2.002203,11338044.754736
2.004955,17860497.566311
2.007707,17855501.650159
2.010457,17873643.031145
2.013212,17845213.683654
2.015962,17873376.552539
2.018713,17867184.787884
2.021462,17875638.623483
2.024216,17852862.080538
2.027106,17006865.096240
2.032267,9523154.467418
2.035012,17904778.140959
2.037766,17846580.839543
2.040526,17810818.753395
2.043296,17747441.258901
2.046046,17868159.072857
2.048809,17792920.551960
2.051557,17883566.889641
2.054307,17873129.579462
2.057053,17901230.746034
2.062152,9638830.177979
2.064901,17881855.766418
2.067649,17888702.224733
2.070398,17879585.617905
2.073147,17881361.358332
2.075902,17836329.037306
2.078654,17862840.770248
2.081409,17842454.092489
2.084161,17860367.766891
2.086908,17892251.168591
2.091306,11175549.483842
2.094793,14096855.654359
2.097552,17815286.017037
2.100298,17900481.017158
2.103055,17824524.605002
2.105807,17863989.878817
2.108550,17917120.196202
2.111303,17855877.868585
2.114051,17882760.083520
2.116800,17880301.075284
2.121296,10932386.773218
2.124617,14801279.453046
2.127377,17810496.061015
2.130131,17844578.772532
2.132878,17893886.109958
2.135631,17855748.136303
2.138384,17850262.186621
