time,tpt
0.987139,13039080.367074
0.991585,11055310.741681
0.995777,11725132.102153
0.999840,12096812.896376
1.004064,11637763.253725
1.008050,12330125.875052
1.011951,12598977.409658
1.016350,11174195.320169
1.020842,10942304.455730
1.024680,12807677.936096
1.029113,11085765.373854
1.033461,11306640.166729
1.037395,12492981.720830
1.041548,11836633.649060
1.045491,12464993.559804
1.050030,10828456.687165
1.053926,12614598.256151
1.058275,11303101.431032
1.062431,11826010.968510
1.066364,12496586.778208
1.070933,10757465.464798
1.074780,12779057.653694
1.079141,11269773.176096
1.082832,13316467.397385
1.087332,10923584.247743
1.091098,13050020.032227
1.095549,11044048.118184
1.099414,12717044.466965
1.103719,11417920.225088
1.107616,12612630.181938
1.111946,11350484.067478
1.115799,12756617.534276
1.119941,11866075.004545
1.123870,12512964.329192
1.128042,11780702.340969
1.132159,11936659.352775
1.135929,13037897.490486
1.140364,11084547.866948
1.144032,13398420.931544
1.147941,12573239.658196
1.152317,11232593.901464
1.156215,12609789.210872
1.160587,11244146.819020
1.164433,12778389.879199
1.168857,11111266.840853
1.172706,12769582.455541
1.176958,11559538.135869
1.180849,12633309.404274
1.184888,12166481.185915
1.188943,12122617.194918
1.193349,11156018.341881
1.197058,13251632.189560
1.201385,11358499.879371
1.205397,12252571.688961
1.209927,10850896.426392
1.213726,12938141.616215
1.218113,11204343.871599
1.221799,13334241.236586
1.226095,11441689.679085
1.230069,12368543.958256
1.234601,10845475.800238
1.238356,13087638.343223
1.242832,10982565.579336
1.246694,12726833.961838
1.250994,11430229.832453
1.254842,12772940.658267
1.259112,11511052.854309
1.263262,11843330.319812
1.267368,11972281.945876
1.271097,13180790.992268
1.275607,10897147.967715
1.279394,12980150.288972
1.283760,11259021.167015
1.288053,11449336.128581
1.292040,12326560.563081
1.296512,10991578.981736
1.300404,12629238.877151
1.304713,11406306.746388
1.308935,11642995.513069
1.312847,12562724.806755
1.317368,10872847.280428
1.321199,12827488.907871
1.325577,11229101.356621
1.329444,12710378.590956
1.333741,11437751.841368
1.337874,11891444.121438
1.341937,12097813.301540
1.346089,11838982.895714
1.350169,12046810.800954
1.354052,12659372.177352
1.358411,11274330.575153
1.362641,11622333.740591
1.366674,12187226.867837
1.371020,11308994.483782
1.374837,12875904.125439
1.379202,11261396.975012
1.383434,11615083.066323
1.387356,12532710.573480
1.391199,12787695.173524
1.395463,11528031.795903
1.399596,11893751.860214
1.403653,12114502.157353
1.407459,12915217.869415
1.411921,11015107.899965
1.415550,13544895.160164
1.419413,12723325.397649
1.423743,11349980.833976
1.428130,11203636.440721
1.431883,13097741.684138
1.435576,13308736.864080
1.439667,12015515.151278
1.443716,12138277.383049
1.448222,10909739.837153
1.452458,11603013.214149
1.456399,12470806.433812
1.460829,11097110.782137
1.464931,11980741.893402
1.468886,12429670.274370
1.472803,12545624.396992
1.475537,17983566.286960
1.478249,18122904.797231
1.480953,18176345.161221
1.483670,18091886.110046
1.486369,18208207.473989
1.489074,18172205.605611
1.491778,18176318.274906
1.494480,18188398.235335
1.497185,18173845.074183
1.499892,18160214.233777
1.502599,18153178.523614
1.505303,18176929.958245
1.508009,18163515.988417
1.510712,18189879.067206
1.513418,18160314.879288
1.516121,18185047.060913
1.518823,18189569.418786
1.521528,18174711.961950
1.524228,18202475.880386
1.526932,18178691.298438
1.529630,18213551.220054
1.532333,18186029.405779
1.535029,18230216.569128
1.537734,18174308.748050
1.540430,18227938.231498
1.543130,18203615.168642
1.545833,18187785.779913
1.548537,18178052.605107
1.551240,18185699.702862
1.553944,18174900.134559
1.556644,18205921.146937
1.559347,18182470.592022
1.562048,18194902.229053
1.564756,18152360.615671
1.567455,18209995.120735
1.570161,18164556.424060
1.572859,18221633.518730
1.575559,18202327.581163
1.578267,18149766.592052
1.580971,18180143.652429
1.583671,18205846.968952
1.586379,18151086.971373
1.589081,18185477.664776
1.591780,18216231.020590
1.594484,18172857.326136
1.597184,18209003.439380
1.599883,18207215.987323
1.602577,18249812.125551
1.605278,18194895.493735
1.607975,18221883.461802
1.610675,18205044.536653
1.613384,18145525.251895
1.617517,11893291.391930
1.621421,12589741.481523
1.625808,11203547.060505
1.630147,11328169.834046
1.634550,11164481.901669
1.639068,10877419.020745
1.643219,11841256.051985
1.647245,12207664.412418
1.651812,10762939.855680
1.656285,10990114.218751
1.660534,11566608.008426
1.664869,11339598.504572
1.669379,10897771.313533
1.673318,12478851.555693
1.677580,11531114.913735
1.681594,12247314.421492
1.685812,11653206.160893
1.689694,12658319.126032
1.693694,12290768.495604
1.698037,11315956.507055
1.701957,12540544.622749
1.706135,11762197.428886
1.710179,12154278.626551
1.713915,13158190.620292
1.718006,12013465.287875
1.721150,15633035.856558
1.724878,13184864.123634
1.729029,11842325.906823
1.733206,11765750.682996
1.737088,12663449.104925
1.741459,11243624.678146
1.745197,13149858.139806
1.749499,11426177.691104
1.753461,12405157.407849
1.757580,11933598.961443
1.761712,11895585.453174
1.765611,12605956.899384
1.769961,11299848.061735
1.773691,13177041.835607
1.777833,11866716.722940
1.781856,12217101.107995
1.785675,12869417.773527
1.790034,11278159.259026
1.793889,12749734.834464
1.798257,11250774.246091
1.802603,11311302.926229
1.806327,13198487.780685
1.810885,10784382.129415
1.814700,12882748.172834
1.819034,11340126.981183
1.823190,11827809.501808
1.827195,12272484.511456
1.831342,11852346.271196
1.835423,12044874.213991
1.839173,13107262.914862
1.843643,10995343.443418
1.847492,12771115.329002
1.851822,11351553.586853
1.855698,12680074.235396
1.860076,11227918.848864
1.863899,12856548.726037
1.868097,11709157.784903
1.872005,12575317.715330
1.876428,11111970.190838
1.880911,10966290.570556
1.885340,11096131.253652
1.889581,11589959.895419
1.894189,10665983.840010
1.897996,12911638.600209
1.902209,11666972.867737
1.906094,12651349.932911
1.910000,12583569.164316
1.914421,11119400.992946
1.918784,11265782.340648
1.922583,12937395.817404
1.926701,11936572.388177
1.930618,12547686.928676
1.934844,11629384.353850
1.938860,12241552.489467
1.943137,11491071.228183
1.947033,12614355.450630
1.951247,11664218.032029
1.955251,12278017.971389
1.959146,12618811.610477
1.963512,11257507.467100
1.967414,12596068.341461
1.971793,11225718.662278
1.975947,11831371.186885
1.980056,11961746.358508
1.983799,13132901.964672
1.988371,10750700.844995
1.992591,11647605.892335
1.996449,12739893.580210
2.000924,10983017.125436
2.005398,10985928.525753
2.009541,11863400.015882
2.013513,12374008.640558
2.017264,13104079.481873
2.021455,11728791.735440
2.025509,12125781.297798
2.029357,12772625.336843
2.032662,14869524.100809
2.036638,12362667.420553
2.040304,13407616.416474
2.044820,10884103.080109
2.048603,12993773.024016
2.052797,11718249.901120
2.056794,12299278.438328
2.061070,11493003.115260
2.065004,12494045.552225
2.069300,11443266.639148
2.073175,12683477.159574
2.077461,11468289.661110
2.081304,12789515.261968
2.085792,10950783.411452
2.090147,11288704.153132
2.094281,11889761.360549
2.098271,12318426.513488
2.102659,11201399.810347
2.107111,11039650.159524
2.111590,10974625.421021
2.115731,11867243.900690
2.119815,12035639.715358
2.123535,13214952.964479
2.127705,11786428.533746
2.131687,12344894.532677
2.135430,13130961.788452
2.139657,11628820.320152
2.143688,12193497.347185
2.147437,13110059.741032
2.151033,13668528.180494
2.155031,12292514.425923
2.159453,11116644.705684
2.163145,13311461.717767
2.167404,11541783.312599
2.171348,12462155.507681
2.175245,12611821.119053
2.179611,11258832.899376
2.183294,13346377.766681
2.187723,11097659.493859
2.191986,11527758.721984
2.195930,12463201.454446
2.200388,11026806.275534
2.204135,13115537.984681
2.208441,11414470.544549
2.212377,12487890.541932
2.216807,11096619.743684
2.220565,13078183.869388
2.225057,10942998.758360
2.228689,13532238.592704
2.233140,11043025.832215
2.237039,12607496.012064
2.241415,11231102.696315
2.245148,13165764.832847
2.249598,11046622.039980
2.253478,12668658.344440
2.257828,11297855.908205
2.261680,12761714.855434
2.266054,11236211.911592
2.270269,11661871.218795
2.274272,12280125.369607
2.278653,11216906.053619
2.283158,10910802.986886
2.286866,13257765.794576
2.291315,11046550.043218
2.295065,13109052.746121
2.299552,10954895.970612
2.303996,11058631.309885
2.307617,13576771.655175
2.310615,16389927.690515
2.313341,18034003.077580
2.316040,18213524.223557
2.318751,18125751.828543
2.321454,18187866.540905
2.324154,18204430.959681
2.326855,18194558.734199
2.329556,18196875.891990
2.332256,18209806.220721
2.334955,18207249.709585
2.337661,18166657.796228
2.340365,18177951.762894
2.343067,18190175.262516
2.345763,18228830.568894
2.348467,18176990.456636
2.351169,18192168.099897
2.353869,18208706.630589
2.356570,18197165.578213
2.359272,18189932.920181
2.361974,18192053.634580
2.364683,18143341.701448
2.367380,18221403.847359
2.370083,18184475.196682
2.372785,18190680.163121
2.375487,18194599.144685
2.378185,18214388.151161
2.380885,18207681.365576
2.383583,18218736.030709
2.386284,18196579.478425
2.388983,18211243.308613
2.391681,18214165.411985
2.394385,18182618.567860
2.397085,18199746.213663
2.399789,18176076.301654
2.402492,18185020.148848
2.405193,18198809.553783
2.407895,18190114.676327
2.410604,18148821.666928
2.413305,18191548.657729
2.416006,18199820.341943
2.418705,18210912.690841
2.421406,18199099.301576
2.424102,18232921.566758
2.426806,18174806.047767
2.429504,18220714.867980
2.432199,18233821.156307
2.434898,18212815.594130
2.437598,18203824.165991
2.440294,18233340.913247
2.442998,18175014.384116
2.445700,18191575.589120
2.448398,18218276.839823
2.451099,18197502.434257
2.453798,18210399.919677
2.456497,18215731.451377
2.459200,18182584.936776
2.461900,18206865.283199
2.464602,18191319.744125
2.467297,18234984.666913
2.469996,18211196.076768
2.473768,13031675.359841
2.477992,11636341.597838
2.482096,11975595.630681
2.487066,9888960.445969
2.491744,10507177.831291
2.495791,12147243.812325
2.500309,10879812.294905
2.504552,11583625.779506
2.508577,12210172.361369
2.512990,11139334.141950
2.517413,11112133.481248
2.521956,10819939.754209
2.525801,12783986.724962
2.530099,11433806.074256
2.534595,10933216.005310
2.538808,11666524.253041
2.542685,12679024.278505
2.546980,11443668.940096
2.550915,12490778.419558
2.555359,11060945.693754
2.559100,13136053.779996
