time,tpt
1.398463,18209057.405654
1.401164,18198789.339165
1.403860,18230581.696944
1.406561,18199469.922666
1.409265,18180775.767843
1.411970,18168182.098767
1.414670,18207168.776365
1.417377,18156269.808552
1.420084,18156558.203346
1.422787,18181528.984025
1.425490,18186345.662668
1.428194,18179276.246441
1.430895,18194215.252314
1.433599,18182517.674982
1.436304,18169498.442440
1.439012,18146242.053266
1.441711,18213375.744254
1.444417,18166046.804033
1.447119,18186958.021103
1.449821,18194679.966196
1.452524,18184804.855201
1.455228,18174543.953984
1.457930,18189757.899178
1.460631,18200399.911131
1.463329,18219728.772470
1.466032,18184414.648458
1.468737,18168074.650561
1.471437,18205186.137213
1.474138,18197980.791267
1.476835,18222011.813611
1.479536,18202624.182026
1.482238,18185551.676869
1.484939,18201687.225898
1.487643,18177205.565290
1.490346,18182632.020328
1.493047,18201100.834810
1.495757,18133528.914146
1.498453,18230013.726660
1.501154,18197872.990309
1.503859,18176627.472328
1.506565,18158235.098754
1.509267,18193898.721667
1.511974,18158610.765789
1.514675,18197758.453191
1.517378,18184394.465806
1.520085,18153614.324336
1.522788,18187873.271020
1.525491,18184354.100636
1.528189,18215771.955968
1.530887,18216440.307729
1.533596,18149129.929559
1.536296,18204066.878613
1.539004,18149793.399874
1.541702,18213908.931196
1.544405,18188203.052755
1.547108,18184212.823954
1.549817,18144975.965807
1.552517,18201693.966245
1.555218,18196734.420675
1.557914,18232529.292343
1.560618,18176210.730443
1.563320,18193306.098155
1.566031,18126065.992422
1.568733,18195353.506711
1.571430,18224227.856239
1.574138,18152454.470215
1.576836,18217655.618408
1.579539,18179330.036653
1.582245,18166946.521125
1.584953,18147173.309714
1.587650,18229628.338408
1.590358,18149377.887535
1.593059,18196667.054155
1.595763,18178872.829997
1.598461,18220100.234275
1.601167,18163972.422927
1.603876,18140100.834927
1.606578,18195272.679216
1.609277,18208389.595523
1.611977,18205873.942695
1.614680,18184280.098291
1.617383,18179531.752783
1.620088,18175263.049881
1.622781,18252434.827719
1.625485,18174893.414042
1.628183,18221620.008489
1.630878,18238205.389087
1.633579,18193009.800877
1.636281,18192329.700444
1.638983,18190956.187301
1.641688,18170613.454136
1.644389,18201222.154004
1.647089,18199240.809665
1.649788,18210845.219301
1.652492,18183049.056721
1.655199,18156766.121555
1.657898,18205334.483019
1.660596,18220876.976088
1.663297,18198876.936167
1.665997,18201950.103134
1.668694,18224349.483936
1.671397,18184327.190623
1.674105,18154841.383376
1.676804,18206042.530400
1.679508,18178106.388078
1.682213,18173488.934959
1.684917,18176486.315678
1.687617,18206251.583491
1.690321,18179262.798938
1.693022,18192221.966427
1.695723,18201929.881539
1.698427,18176620.750533
1.701128,18195926.055358
1.703825,18223004.912411
1.706531,18164630.265958
1.709236,18170096.232899
1.711937,18198802.815572
1.714645,18153433.296880
1.717347,18190814.808016
1.720049,18193285.895762
1.722755,18163844.887446
1.725457,18189441.523603
1.728161,18173851.793925
1.730858,18226741.825277
1.733558,18206049.273973
1.736262,18175585.653446
1.738966,18175538.606379
1.741669,18184044.640291
1.744367,18223038.693185
