src_non_pref_nr,delta_hot,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,src_len,src_load,dst_load,dst_len,delta_faults,extra_fails,buddy_hot,can_migrate
1,1,0,0,1,1,0,0,233,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,6,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,6,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,233,0.0,0.0,226,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,233,0.0,0.0,2,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,3,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,3,0.0,0,0,1
0,1,0,0,1,1,0,0,-2,0.0,0.0,3,0.0,0,0,1
1,1,0,0,1,1,0,0,245,0.0,0.0,7,0.0,0,0,1
1,1,0,0,1,1,0,0,9,0.0,0.0,2,0.0,0,0,1
1,1,0,0,1,1,0,0,22,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,7,0.0,0.0,25,0.0,0,0,1
1,1,0,0,1,1,0,0,121,0.0,0.0,1,0.0,0,1,0
1,1,0,0,1,1,0,0,164,0.0,0.0,48,0.0,0,0,0
1,1,0,0,1,0,0,0,216,0.0,0.0,7,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,2,0.0,0,0,1
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,1,0.0,0.0,0,0.0,0,0,0
0,1,1,0,0,1,0,0,-1,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,6,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,1,1,4,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,1,1,6,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,195,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,129,0.0,0.0,2,0.0,0,0,1
0,1,0,0,1,1,1,1,-1,0.0,0.0,1,0.0,0,0,0
0,1,0,0,1,0,0,0,-1,0.0,0.0,1,0.0,0,1,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,5,0.0,0,0,0
1,1,0,0,1,0,0,0,95,0.0,0.0,17,0.0,0,1,0
1,1,1,0,0,1,0,0,95,0.0,0.0,14,0.0,0,0,0
0,1,0,0,1,1,1,1,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-1,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,0,0,-1,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,-1,0.0,0.0,5,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,13,0.0,0,0,0
0,1,1,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,0
0,1,0,1,0,1,0,0,0,0.0,0.0,1,0.0,0,0,0
0,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,170,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,43,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,43,0.0,0.0,59,0.0,0,0,0
1,1,1,0,0,1,0,0,43,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,43,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,43,0.0,0.0,22,0.0,0,0,0
1,1,0,0,1,1,0,0,43,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,43,0.0,0.0,18,0.0,0,0,0
1,1,0,0,1,0,0,0,43,0.0,0.0,262,0.0,0,0,0
1,1,0,0,1,0,0,0,43,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,1,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,1,1,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,3,0.0,0.0,6,0.0,0,0,0
0,1,0,0,1,1,1,1,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,56,0.0,0.0,62,0.0,0,1,0
1,1,0,0,1,1,0,0,56,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,174,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,58,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,101,0.0,0,0,0
1,1,0,0,1,1,0,0,2,0.0,0.0,4,0.0,0,0,0
1,1,0,0,1,0,0,0,409,0.0,0.0,5,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,1,1,2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,1,1,3737,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,9,0.0,0,0,0
0,1,0,0,1,1,1,1,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,4,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,1,0,0,1,0,0,0,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,0,0.0,0.0,1,0.0,0,0,0
1,1,0,0,1,1,0,0,51,0.0,0.0,44,0.0,0,1,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,0,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,1,0,-2,0.0,0.0,0,-0.9473684210526315,0,0,0
0,1,0,1,0,1,0,0,-1,0.0,0.0,1,0.0,0,1,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,1,0.0,0,0,0
0,1,0,0,1,1,0,0,-1,0.0,0.0,1,0.0,0,0,1
0,1,1,0,0,1,0,0,-1,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,2,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,1,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,1,0.0,0,0,0
0,1,0,0,1,1,0,0,-2,0.0,0.0,0,0.0,0,0,0
0,1,0,0,1,0,0,0,-2,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,1,0,0,316,0.0,0.0,3,0.0,0,0,0
1,1,0,0,1,1,0,0,24,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,0,0,0,220,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,1,0,0,220,0.0,0.0,3,0.0,0,0,0
1,1,0,0,1,0,0,0,220,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,0,0,0,220,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,0,0,0,220,0.0,0.0,0,0.0,0,0,0
1,1,0,0,1,0,0,0,220,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,0,0,0,220,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,0,0,0,220,0.0,0.0,2,0.0,0,0,0
1,1,0,0,1,0,0,0,220,0.0,0.0,2,0.0,0,0,0
1,1,1,0,0,1,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,323,0.0,0.0,0,0.0,0,0,0
1,1,1,0,0,1,0,0,323,0.0,0.0,0,0.0,0,0,0
